Rk;G;Date;@;OppT;W/L;Tm;Opp;ORtg;DRtg;Pace;FTr;3PAr;TS%;TRB%;AST%;STL%;BLK%;a;eFG%;TOV%;ORB%;FT/FGA;b;OeFG%;OTOV%;DRB%;OFT/FGA;T
2;2;27/10/2023;@;CHO;W;111;99;104.0;92.8;106.7;.284;.341;.561;56.4;70.0;6.6;10.0;;.511;18.9;28.6;.239;;.415;14.9;78.8;.295;DET
3;3;28/10/2023;;CHI;W;118;102;129.1;111.6;91.4;.233;.326;.622;61.6;64.4;4.4;6.2;;.593;13.7;42.9;.186;;.478;7.4;74.5;.140;DET
4;4;30/10/2023;@;OKC;L;112;124;109.7;121.4;102.1;.264;.308;.551;48.2;79.5;5.9;9.3;;.511;13.6;25.5;.209;;.608;13.6;82.4;.277;DET
5;5;01/11/2023;;POR;L;101;110;97.2;105.8;103.9;.122;.322;.532;46.3;60.0;11.5;6.6;;.506;16.0;14.0;.111;;.512;15.1;82.1;.333;DET
6;6;02/11/2023;@;NOP;L;116;125;118.7;127.9;97.7;.277;.404;.550;57.1;73.2;4.1;10.4;;.505;13.2;39.6;.223;;.575;11.2;80.6;.413;DET
7;7;05/11/2023;;PHO;L;106;120;108.9;123.3;97.4;.161;.264;.569;43.4;58.1;7.2;9.2;;.540;14.7;25.6;.138;;.547;15.4;62.2;.302;DET
8;8;06/11/2023;;GSW;L;109;120;114.4;125.9;95.3;.263;.375;.611;47.0;60.5;8.4;3.6;;.556;13.6;20.6;.250;;.536;9.4;65.3;.165;DET
9;9;08/11/2023;@;MIL;L;118;120;110.0;111.8;107.3;.163;.296;.562;59.6;58.3;1.9;9.4;;.526;13.9;26.2;.153;;.517;8.8;89.4;.300;DET
10;10;10/11/2023;;PHI;L;106;114;108.9;117.1;97.3;.256;.326;.554;51.1;70.0;3.1;9.1;;.512;14.3;23.9;.209;;.476;7.3;77.1;.422;DET
11;11;12/11/2023;@;CHI;L;108;119;113.8;125.4;94.9;.295;.364;.543;55.1;68.4;4.2;9.8;;.494;13.9;35.6;.239;;.544;5.6;75.0;.220;DET
12;12;14/11/2023;;ATL;L;120;126;119.1;125.1;100.7;.256;.322;.599;50.6;76.6;8.9;11.1;;.578;14.5;31.1;.178;;.586;12.5;73.7;.276;DET
13;13;17/11/2023;@;CLE;L;100;108;105.9;114.4;94.4;.165;.385;.512;56.7;51.3;8.5;9.8;;.478;14.8;36.0;.143;;.567;11.6;82.5;.183;DET
14;14;19/11/2023;@;TOR;L;113;142;105.8;132.9;106.8;.422;.313;.574;46.6;64.1;2.8;4.5;;.524;14.7;16.7;.313;;.608;5.7;73.9;.176;DET
15;15;20/11/2023;;DEN;L;103;107;106.4;110.5;96.8;.321;.259;.557;50.0;58.3;7.2;8.5;;.488;16.3;25.6;.296;;.523;12.7;74.4;.184;DET
16;16;24/11/2023;@;IND;L;113;136;115.4;138.9;97.9;.267;.200;.562;51.8;51.2;6.1;17.2;;.517;12.2;35.9;.222;;.559;6.6;65.9;.216;DET
1;1;25/10/2023;;HOU;W;116;86;123.8;91.8;93.7;.299;.391;.589;64.8;45.2;8.5;13.3;;.534;12.5;41.5;.264;;.481;17.3;85.1;.127;ORL
2;2;27/10/2023;@;POR;W;102;97;107.2;102.0;95.1;.405;.354;.548;48.9;61.1;10.5;8.9;;.513;13.1;23.8;.266;;.449;14.1;70.0;.205;ORL
3;3;30/10/2023;@;LAL;L;103;106;104.5;107.6;98.5;.189;.368;.500;52.4;73.7;10.1;5.8;;.474;9.7;24.5;.137;;.582;15.5;91.4;.177;ORL
4;4;31/10/2023;@;LAC;L;102;118;98.8;114.3;103.2;.407;.370;.534;47.6;60.5;8.7;5.2;;.512;14.3;16.7;.235;;.573;13.9;78.6;.180;ORL
5;5;02/11/2023;@;UTA;W;115;113;109.3;107.4;105.2;.424;.341;.570;47.3;69.2;16.2;16.1;;.518;14.4;22.2;.318;;.528;16.6;71.7;.213;ORL
6;6;04/11/2023;;LAL;W;120;101;121.1;101.9;99.1;.188;.327;.549;56.0;63.0;6.1;16.7;;.515;12.1;38.8;.158;;.488;15.4;76.2;.226;ORL
7;7;06/11/2023;;DAL;L;102;117;99.8;114.5;102.2;.212;.318;.549;55.1;67.5;5.9;9.5;;.518;17.7;18.8;.165;;.591;12.9;86.5;.244;ORL
8;8;09/11/2023;;ATL;L;119;120;115.1;116.1;103.4;.389;.300;.565;56.6;45.2;11.6;13.0;;.522;15.3;39.1;.278;;.571;14.8;78.4;.271;ORL
9;9;11/11/2023;;MIL;W;112;97;115.5;100.0;97.0;.417;.310;.563;54.4;66.7;9.3;4.2;;.488;11.6;32.6;.357;;.552;17.8;84.8;.156;ORL
10;10;14/11/2023;@;BRK;L;104;124;110.6;131.8;94.0;.256;.561;.570;45.7;63.9;9.6;8.7;;.537;13.3;22.5;.195;;.653;13.8;68.3;.153;ORL
11;11;15/11/2023;@;CHI;W;96;94;101.3;99.2;94.8;.366;.341;.504;46.5;62.5;12.7;6.0;;.439;12.0;23.5;.293;;.452;17.0;70.8;.229;ORL
12;12;17/11/2023;@;CHI;W;103;97;107.3;101.0;96.0;.291;.430;.578;57.5;63.2;7.3;14.0;;.551;16.0;25.6;.203;;.506;15.3;87.8;.215;ORL
13;13;19/11/2023;@;IND;W;128;116;117.3;106.3;109.1;.483;.230;.607;51.2;48.8;9.2;15.6;;.534;12.5;21.6;.402;;.484;12.8;75.6;.253;ORL
14;14;21/11/2023;;TOR;W;126;107;123.8;105.2;101.7;.200;.310;.579;51.3;62.0;11.8;17.0;;.560;9.9;31.3;.140;;.600;21.4;83.3;.227;ORL
15;15;22/11/2023;;DEN;W;124;119;133.8;128.4;92.7;.370;.358;.658;49.4;61.4;9.7;12.1;;.605;11.3;30.6;.321;;.554;8.9;63.8;.172;ORL
16;16;24/11/2023;;BOS;W;113;96;114.7;97.4;98.5;.259;.329;.597;60.8;53.5;5.1;6.4;;.571;16.0;32.5;.188;;.454;13.2;89.7;.355;ORL
1;1;25/10/2023;;DET;W;103;102;110.0;108.9;93.7;.283;.239;.498;46.2;59.5;11.7;5.0;;.446;6.3;29.1;.228;;.505;14.0;65.3;.098;MIA
2;2;27/10/2023;@;BOS;L;111;119;111.7;119.8;99.3;.258;.371;.560;45.0;63.2;8.1;10.7;;.517;10.8;22.0;.213;;.558;12.7;68.0;.137;MIA
3;3;28/10/2023;@;MIN;L;90;106;93.9;110.6;95.9;.161;.437;.483;47.2;68.6;6.3;1.9;;.471;13.1;18.4;.092;;.581;13.5;82.5;.070;MIA
4;4;30/10/2023;@;MIL;L;114;122;112.4;120.2;101.5;.233;.395;.601;48.2;65.9;6.9;4.0;;.552;12.9;17.1;.221;;.575;12.3;78.6;.253;MIA
5;5;01/11/2023;;BRK;L;105;109;102.7;106.6;102.3;.198;.418;.531;49.5;56.4;9.8;10.9;;.500;13.9;21.6;.154;;.549;16.2;83.3;.232;MIA
6;6;03/11/2023;;WAS;W;121;114;120.6;113.6;100.4;.175;.338;.702;55.2;72.9;9.0;1.9;;.681;18.1;21.2;.150;;.648;18.4;88.2;.111;MIA
7;7;06/11/2023;;LAL;W;108;107;109.5;108.5;98.6;.182;.420;.568;53.7;73.2;11.2;7.3;;.534;15.2;25.0;.159;;.593;16.3;86.8;.136;MIA
8;8;08/11/2023;@;MEM;W;108;102;110.7;104.5;97.6;.416;.364;.593;53.7;62.9;9.2;15.1;;.526;17.3;26.5;.351;;.450;11.3;72.9;.233;MIA
9;9;11/11/2023;@;ATL;W;117;109;117.3;109.3;99.7;.298;.452;.616;44.8;56.1;10.0;9.8;;.560;13.6;17.5;.274;;.540;18.1;68.1;.172;MIA
10;10;12/11/2023;@;SAS;W;118;113;122.9;117.7;96.0;.337;.348;.577;45.1;66.7;7.3;6.4;;.506;3.8;22.0;.315;;.566;15.0;73.2;.110;MIA
11;11;14/11/2023;@;CHO;W;111;105;120.6;114.0;92.1;.337;.373;.582;48.3;65.0;13.0;10.2;;.530;6.8;23.8;.277;;.537;16.6;71.1;.222;MIA
12;12;16/11/2023;;BRK;W;122;115;130.0;122.5;93.9;.296;.432;.666;44.4;61.9;8.5;6.1;;.611;8.9;18.9;.284;;.553;12.6;71.4;.247;MIA
13;13;18/11/2023;@;CHI;L;97;102;105.8;111.2;91.7;.299;.468;.557;43.6;69.7;9.8;0.0;;.506;14.7;12.8;.247;;.543;11.8;74.4;.173;MIA
14;14;20/11/2023;@;CHI;W;118;100;131.3;111.3;89.9;.238;.417;.636;54.4;73.8;7.8;2.3;;.601;7.9;23.7;.202;;.525;11.1;82.9;.185;MIA
15;15;22/11/2023;@;CLE;W;129;96;137.4;102.3;93.9;.239;.398;.663;54.7;65.2;11.7;14.9;;.636;9.3;27.0;.193;;.558;18.6;81.6;.130;MIA
16;16;24/11/2023;@;NYK;L;98;100;101.0;103.1;97.0;.241;.425;.509;47.1;58.8;11.3;0.0;;.448;10.3;20.0;.230;;.543;16.8;83.8;.148;MIA
17;17;25/11/2023;@;BRK;L;97;112;105.2;121.5;92.2;.149;.391;.523;51.2;63.2;6.5;7.1;;.500;15.5;27.7;.115;;.590;11.1;79.5;.256;MIA
1;1;25/10/2023;@;CHO;L;110;116;106.4;112.2;103.4;.355;.312;.512;45.2;61.5;11.6;2.0;;.446;10.0;23.5;.290;;.564;16.3;71.4;.221;ATL
2;2;27/10/2023;;NYK;L;120;126;115.9;121.7;103.5;.345;.368;.599;49.4;66.7;6.8;13.0;;.552;12.3;21.4;.276;;.589;13.5;74.5;.222;ATL
3;3;29/10/2023;@;MIL;W;127;110;123.1;106.6;103.2;.237;.398;.618;54.1;68.1;14.5;4.8;;.586;14.2;32.5;.194;;.547;19.5;73.3;.186;ATL
4;4;30/10/2023;;MIN;W;127;113;132.7;118.1;95.7;.209;.349;.676;48.6;58.3;6.3;12.3;;.640;8.7;12.5;.198;;.578;9.4;76.2;.100;ATL
5;5;01/11/2023;;WAS;W;130;121;118.3;110.1;109.9;.348;.348;.613;62.0;56.5;7.3;4.9;;.549;15.9;32.6;.315;;.554;9.3;87.8;.089;ATL
6;6;04/11/2023;@;NOP;W;123;105;134.3;114.6;91.6;.258;.441;.594;59.8;62.2;4.4;11.3;;.559;9.6;42.2;.204;;.524;8.8;78.6;.202;ATL
7;7;06/11/2023;@;OKC;L;117;126;113.6;122.3;103.0;.314;.412;.504;54.6;71.1;7.8;5.1;;.441;11.4;39.7;.265;;.553;11.1;75.6;.234;ATL
8;8;09/11/2023;@;ORL;W;120;119;116.1;115.1;103.4;.353;.459;.611;43.4;53.7;12.6;11.1;;.571;14.8;21.6;.271;;.522;15.3;60.9;.278;ATL
9;9;11/11/2023;;MIA;L;109;117;109.3;117.3;99.7;.207;.529;.574;55.2;60.5;6.0;13.0;;.540;18.1;31.9;.172;;.560;13.6;82.5;.274;ATL
10;10;14/11/2023;@;DET;W;126;120;125.1;119.1;100.7;.299;.379;.640;49.4;62.2;8.9;11.5;;.586;12.5;26.3;.276;;.578;14.5;68.9;.178;ATL
11;11;15/11/2023;;NYK;L;114;116;120.6;122.7;94.5;.347;.413;.659;41.7;68.3;11.6;10.0;;.627;14.8;17.6;.267;;.564;13.9;63.2;.106;ATL
12;12;17/11/2023;;PHI;L;116;126;118.9;129.2;97.5;.337;.371;.568;47.6;60.0;8.2;6.9;;.517;11.3;31.8;.270;;.563;13.0;65.8;.307;ATL
13;13;21/11/2023;;IND;L;152;157;140.2;144.8;108.4;.295;.326;.708;57.4;49.1;7.4;8.2;;.679;12.3;35.3;.242;;.723;10.9;79.4;.223;ATL
14;14;22/11/2023;;BRK;W;147;145;127.4;125.7;104.5;.250;.422;.571;49.6;47.1;8.7;10.3;;.517;9.8;37.3;.233;;.553;11.5;62.1;.177;ATL
15;15;25/11/2023;@;WAS;W;136;108;133.3;105.9;102.0;.196;.363;.614;54.4;55.8;12.7;4.0;;.598;7.5;34.0;.137;;.545;17.7;80.0;.136;ATL
1;1;25/10/2023;;ATL;W;116;110;112.2;106.4;103.4;.302;.430;.595;54.8;79.1;4.8;4.7;;.564;16.3;28.6;.221;;.446;10.0;76.5;.290;CHO
2;2;27/10/2023;;DET;L;99;111;92.8;104.0;106.7;.386;.318;.481;43.6;60.6;12.2;12.1;;.415;14.9;21.2;.295;;.511;18.9;71.4;.239;CHO
3;3;30/10/2023;;BRK;L;121;133;117.3;128.9;103.2;.208;.323;.577;45.9;70.2;7.8;9.3;;.531;7.9;18.2;.198;;.632;11.4;75.6;.264;CHO
4;4;01/11/2023;@;HOU;L;119;128;117.7;126.6;101.1;.278;.300;.589;53.7;46.7;8.9;17.0;;.561;13.7;32.6;.200;;.649;15.3;80.6;.226;CHO
5;5;04/11/2023;@;IND;W;125;124;128.0;127.0;97.6;.261;.227;.637;53.2;48.9;5.1;20.8;;.580;11.7;32.4;.261;;.602;12.3;72.5;.129;CHO
6;6;05/11/2023;@;DAL;L;118;124;114.0;119.8;103.5;.212;.303;.545;47.8;61.2;4.8;4.1;;.535;6.9;20.8;.121;;.549;8.7;78.6;.264;CHO
7;7;08/11/2023;;WAS;L;116;132;113.7;129.4;102.0;.443;.316;.614;54.0;41.5;7.8;9.3;;.570;17.5;28.9;.329;;.577;8.5;73.5;.206;CHO
8;8;10/11/2023;@;WAS;W;124;117;122.6;115.6;101.2;.255;.255;.507;65.0;62.0;9.9;8.0;;.482;6.9;49.1;.164;;.568;13.4;84.8;.193;CHO
9;9;12/11/2023;@;NYK;L;107;129;114.6;138.1;93.4;.117;.372;.541;47.4;47.7;5.4;7.8;;.532;10.8;33.3;.074;;.626;8.2;67.7;.230;CHO
10;10;14/11/2023;;MIA;L;105;111;114.0;120.6;92.1;.272;.395;.579;51.7;58.3;6.5;0.0;;.537;16.6;28.9;.222;;.530;6.8;76.2;.277;CHO
11;11;17/11/2023;;MIL;L;99;130;96.6;126.9;102.4;.242;.286;.492;46.7;48.6;4.9;4.5;;.440;10.6;16.7;.209;;.674;12.1;89.5;.112;CHO
12;12;18/11/2023;;NYK;L;108;122;112.4;127.0;96.1;.159;.427;.616;43.4;72.5;5.2;9.3;;.591;12.9;10.5;.134;;.593;10.8;71.1;.154;CHO
13;13;20/11/2023;;BOS;W;121;118;113.7;110.9;96.3;.163;.375;.543;54.3;63.0;8.5;14.9;;.505;10.4;31.5;.154;;.515;10.6;78.4;.186;CHO
14;14;22/11/2023;;WAS;W;117;114;116.5;113.5;100.4;.231;.407;.584;51.0;62.8;6.0;6.2;;.560;10.7;23.4;.165;;.510;8.7;77.6;.155;CHO
1;1;25/10/2023;@;IND;L;120;143;108.5;129.3;110.6;.302;.250;.552;46.9;63.6;5.4;14.1;;.505;11.4;21.2;.240;;.617;9.7;77.3;.103;WAS
2;2;28/10/2023;;MEM;W;113;106;111.6;104.7;101.3;.237;.495;.550;50.0;60.0;8.9;11.4;;.516;9.7;22.0;.183;;.533;14.4;85.0;.099;WAS
3;3;30/10/2023;;BOS;L;107;126;105.1;123.8;101.8;.299;.414;.543;44.0;66.7;11.8;8.2;;.511;13.2;23.4;.207;;.593;13.9;65.9;.049;WAS
4;4;01/11/2023;@;ATL;L;121;130;110.1;118.3;109.9;.139;.396;.565;38.0;62.7;12.7;5.0;;.554;9.3;12.2;.089;;.549;15.9;67.4;.315;WAS
5;5;03/11/2023;@;MIA;L;114;121;113.6;120.6;100.4;.210;.346;.644;44.8;71.7;7.0;7.5;;.648;18.4;11.8;.111;;.681;18.1;78.8;.150;WAS
6;6;06/11/2023;@;PHI;L;128;146;115.9;132.1;110.5;.208;.354;.611;45.8;63.3;5.4;16.7;;.583;15.3;22.2;.167;;.626;12.3;73.7;.352;WAS
7;7;08/11/2023;@;CHO;W;132;116;129.4;113.7;102.0;.258;.443;.611;46.0;55.3;9.8;11.1;;.577;8.5;26.5;.206;;.570;17.5;71.1;.329;WAS
8;8;10/11/2023;;CHO;L;117;124;115.6;122.6;101.2;.227;.432;.604;35.0;65.1;4.0;7.3;;.568;13.4;15.2;.193;;.482;6.9;50.9;.164;WAS
9;9;12/11/2023;@;BRK;L;94;102;92.8;100.7;101.2;.284;.466;.475;38.9;60.6;13.8;6.1;;.432;10.8;13.2;.205;;.439;14.4;63.6;.163;WAS
10;10;13/11/2023;@;TOR;L;107;111;106.3;110.3;100.6;.143;.310;.599;44.2;74.4;10.9;7.1;;.583;19.8;20.0;.107;;.522;13.7;65.2;.189;WAS
11;11;15/11/2023;;DAL;L;117;130;113.6;126.2;103.0;.258;.404;.590;50.0;53.5;5.8;2.0;;.551;10.8;17.8;.213;;.614;8.7;80.9;.185;WAS
12;12;17/11/2023;;NYK;L;99;120;106.7;129.4;92.8;.195;.390;.556;40.0;67.6;4.3;7.5;;.512;13.6;17.1;.183;;.582;9.1;64.1;.154;WAS
13;13;20/11/2023;;MIL;L;129;142;127.6;140.5;101.1;.111;.293;.621;32.1;52.7;5.9;6.2;;.606;3.7;11.4;.091;;.644;10.9;56.8;.223;WAS
14;14;22/11/2023;@;CHO;L;114;117;113.5;116.5;100.4;.186;.330;.543;49.0;59.1;7.0;5.6;;.510;8.7;22.4;.155;;.560;10.7;76.6;.165;WAS
15;15;24/11/2023;@;MIL;L;128;131;123.6;126.5;103.5;.210;.370;.586;47.9;60.4;2.9;6.6;;.555;6.8;23.1;.170;;.571;7.8;77.3;.283;WAS
16;16;25/11/2023;;ATL;L;108;136;105.9;133.3;102.0;.136;.432;.579;45.6;76.7;4.9;9.2;;.545;17.7;20.0;.136;;.598;7.5;66.0;.137;WAS
1;1;25/10/2023;@;TOR;L;94;97;92.1;95.1;102.0;.220;.310;.429;56.9;58.8;7.8;16.4;;.380;11.3;29.1;.180;;.478;12.6;85.2;.122;MIN
2;2;28/10/2023;;MIA;W;106;90;110.6;93.9;95.9;.093;.395;.592;52.8;68.2;9.4;6.1;;.581;13.5;17.5;.070;;.471;13.1;81.6;.092;MIN
3;3;30/10/2023;@;ATL;L;113;127;118.1;132.7;95.7;.167;.367;.585;51.4;54.5;5.2;8.9;;.578;9.4;23.8;.100;;.640;8.7;87.5;.198;MIN
4;4;01/11/2023;;DEN;W;110;89;111.5;90.2;98.7;.325;.253;.580;52.2;52.6;9.1;7.9;;.506;12.1;20.5;.313;;.427;13.0;76.5;.073;MIN
5;5;04/11/2023;;UTA;W;123;95;130.8;101.0;94.0;.383;.296;.650;52.4;55.6;10.6;22.9;;.611;9.6;29.0;.296;;.451;15.5;66.7;.143;MIN
6;6;06/11/2023;;BOS;W;114;109;103.7;99.2;99.5;.294;.435;.594;50.0;59.1;6.4;9.4;;.594;19.3;15.0;.153;;.451;13.0;78.0;.283;MIN
7;7;08/11/2023;;NOP;W;122;101;119.2;98.7;102.3;.293;.451;.659;54.5;66.7;8.8;10.8;;.640;14.7;21.6;.207;;.430;14.2;78.4;.226;MIN
8;8;10/11/2023;@;SAS;W;117;110;112.9;106.1;103.7;.310;.310;.592;57.3;53.5;5.8;6.9;;.552;15.4;29.5;.241;;.533;12.2;84.4;.130;MIN
9;9;12/11/2023;@;GSW;W;116;110;116.6;110.6;99.5;.366;.329;.609;48.0;62.8;8.0;11.3;;.579;12.8;22.0;.256;;.448;11.4;66.7;.250;MIN
10;10;14/11/2023;@;GSW;W;104;101;106.1;103.0;98.0;.259;.420;.576;47.7;66.7;9.2;10.2;;.531;17.4;21.4;.222;;.494;16.7;71.7;.159;MIN
11;11;15/11/2023;@;PHO;L;115;133;125.7;145.3;91.5;.304;.293;.551;55.6;42.9;8.7;9.3;;.484;5.4;37.2;.283;;.700;8.9;82.8;.165;MIN
12;12;18/11/2023;@;NOP;W;121;120;123.1;122.1;98.3;.338;.388;.658;45.2;67.4;6.1;12.3;;.619;13.2;15.6;.275;;.581;15.0;68.3;.233;MIN
13;13;20/11/2023;;NYK;W;117;100;120.7;103.2;96.9;.400;.425;.622;46.8;73.2;7.2;13.0;;.581;12.1;17.5;.300;;.397;8.5;68.5;.293;MIN
14;14;22/11/2023;;PHI;W;112;99;114.8;101.5;97.5;.270;.292;.562;50.0;65.1;10.3;14.5;;.539;10.8;23.8;.180;;.431;12.3;70.4;.276;MIN
15;15;24/11/2023;;SAC;L;111;124;110.2;123.2;100.7;.354;.402;.586;48.9;69.4;6.0;13.8;;.512;16.0;23.8;.329;;.575;11.0;70.8;.090;MIN
1;1;25/10/2023;@;CHI;W;124;104;126.2;105.8;98.3;.220;.476;.690;50.6;66.7;6.1;7.7;;.665;14.3;14.7;.183;;.479;10.5;74.5;.149;OKC
2;2;27/10/2023;@;CLE;W;108;105;102.5;99.6;105.4;.218;.299;.566;49.5;55.0;7.6;21.3;;.534;15.9;13.0;.172;;.478;11.3;83.7;.185;OKC
3;3;29/10/2023;;DEN;L;95;128;99.0;133.4;95.9;.200;.356;.485;37.7;59.5;8.3;6.6;;.444;8.4;15.6;.167;;.665;12.2;68.8;.125;OKC
4;4;30/10/2023;;DET;W;124;112;121.4;109.7;102.1;.337;.349;.650;51.8;47.7;8.8;15.9;;.608;13.6;17.6;.277;;.511;13.6;74.5;.209;OKC
5;5;01/11/2023;;NOP;L;106;110;103.2;107.1;102.8;.284;.386;.535;45.8;60.5;5.8;8.3;;.472;12.4;14.3;.261;;.456;8.0;66.2;.167;OKC
6;6;03/11/2023;;GSW;L;139;141;132.7;134.6;104.8;.361;.349;.722;45.7;52.0;2.9;1.9;;.693;16.5;21.9;.289;;.630;12.5;65.8;.272;OKC
7;7;06/11/2023;;ATL;W;126;117;122.3;113.6;103.0;.245;.372;.605;45.4;60.0;6.8;11.7;;.553;11.1;24.4;.234;;.441;11.4;60.3;.265;OKC
8;8;08/11/2023;;CLE;W;128;120;126.2;118.3;101.4;.349;.326;.645;50.0;52.3;9.9;14.8;;.581;12.4;28.6;.326;;.560;15.3;72.5;.325;OKC
9;9;10/11/2023;@;SAC;L;98;105;97.5;104.5;100.5;.184;.345;.521;42.2;56.4;9.0;11.4;;.489;14.5;12.2;.149;;.489;14.5;67.3;.176;OKC
10;10;12/11/2023;@;PHO;W;111;99;120.3;107.3;92.3;.305;.329;.597;39.3;57.5;9.8;14.8;;.549;7.0;14.6;.256;;.440;15.0;62.8;.313;OKC
11;11;14/11/2023;;SAS;W;123;87;116.6;82.5;105.5;.225;.438;.629;48.2;73.9;18.0;9.5;;.601;13.3;11.8;.180;;.435;19.8;73.5;.065;OKC
12;12;16/11/2023;@;GSW;W;128;109;129.1;109.9;99.1;.264;.368;.659;46.2;70.5;10.1;5.3;;.615;11.0;19.4;.241;;.480;13.1;63.6;.153;OKC
13;13;18/11/2023;@;GSW;W;130;123;121.7;115.2;96.7;.200;.230;.597;49.0;50.0;7.5;13.7;;.560;8.4;20.5;.180;;.546;13.1;73.1;.175;OKC
14;14;19/11/2023;@;POR;W;134;91;143.8;97.7;93.2;.173;.444;.769;58.1;57.1;8.6;5.9;;.741;16.3;35.7;.173;;.453;15.3;71.7;.165;OKC
15;15;22/11/2023;;CHI;W;116;102;128.1;112.6;90.6;.507;.387;.632;54.2;64.9;4.4;27.3;;.567;11.6;28.9;.413;;.483;9.5;75.6;.193;OKC
16;16;25/11/2023;;PHI;L;123;127;130.2;134.5;94.5;.265;.439;.562;43.7;67.4;3.2;7.1;;.520;3.5;28.9;.214;;.542;10.5;59.5;.446;OKC
1;1;24/10/2023;;LAL;W;119;107;124.8;112.3;95.3;.132;.374;.618;48.8;60.4;9.4;9.8;;.604;10.3;22.5;.099;;.511;10.0;71.7;.167;DEN
2;2;27/10/2023;@;MEM;W;108;104;105.2;101.3;102.6;.205;.420;.563;45.5;65.9;10.7;19.2;;.545;15.1;14.6;.136;;.494;17.3;72.3;.235;DEN
3;3;29/10/2023;@;OKC;W;128;95;133.4;99.0;95.9;.148;.307;.683;62.3;64.2;8.3;8.6;;.665;12.2;31.3;.125;;.444;8.4;84.4;.167;DEN
4;4;30/10/2023;;UTA;W;110;102;114.1;105.8;96.4;.202;.333;.601;45.7;68.1;4.1;13.1;;.613;11.6;17.1;.083;;.485;10.3;67.9;.071;DEN
5;5;01/11/2023;@;MIN;L;89;110;90.2;111.5;98.7;.104;.344;.443;47.8;60.5;6.1;16.1;;.427;13.0;23.5;.073;;.506;12.1;79.5;.313;DEN
6;6;03/11/2023;;DAL;W;125;114;129.4;118.1;96.6;.204;.323;.617;60.0;67.3;11.4;13.6;;.597;14.4;44.2;.151;;.576;13.8;76.2;.174;DEN
7;7;04/11/2023;;CHI;W;123;101;129.6;106.4;94.9;.370;.444;.653;57.0;73.8;10.5;6.7;;.617;10.5;26.3;.284;;.494;10.3;81.3;.186;DEN
8;8;06/11/2023;;NOP;W;134;116;133.7;115.8;100.2;.242;.411;.637;54.2;72.5;6.0;8.3;;.616;7.9;26.8;.179;;.572;11.9;81.0;.144;DEN
9;9;08/11/2023;;GSW;W;108;105;114.7;111.5;94.1;.239;.380;.531;47.9;58.5;7.4;7.8;;.505;5.6;20.8;.163;;.494;8.5;76.1;.233;DEN
10;10;12/11/2023;@;HOU;L;104;107;110.6;113.8;94.1;.154;.352;.535;52.1;57.1;3.2;9.1;;.511;10.2;26.7;.121;;.483;8.3;75.5;.264;DEN
11;11;14/11/2023;;LAC;W;111;108;121.8;118.5;91.1;.438;.315;.637;46.2;66.7;4.4;3.5;;.589;13.9;17.6;.342;;.506;9.4;68.2;.244;DEN
12;12;17/11/2023;@;NOP;L;110;115;108.6;113.5;101.3;.125;.417;.543;56.7;78.7;3.9;4.6;;.542;11.4;23.9;.063;;.591;8.5;90.9;.125;DEN
13;13;19/11/2023;@;CLE;L;109;121;117.2;130.1;93.0;.280;.354;.592;41.3;59.0;7.5;9.1;;.561;10.7;20.0;.207;;.616;12.2;68.6;.244;DEN
14;14;20/11/2023;@;DET;W;107;103;110.5;106.4;96.8;.241;.322;.556;50.0;75.0;7.2;13.3;;.523;12.7;25.6;.184;;.488;16.3;74.4;.296;DEN
15;15;22/11/2023;@;ORL;L;119;124;128.4;133.8;92.7;.226;.376;.582;50.6;65.9;6.5;3.8;;.554;8.9;36.2;.172;;.605;11.3;69.4;.321;DEN
16;16;24/11/2023;@;HOU;L;86;105;88.7;108.3;97.0;.223;.319;.417;48.4;53.1;8.3;7.5;;.378;12.7;27.1;.160;;.561;13.6;83.3;.159;DEN
1;1;25/10/2023;;SAC;L;114;130;112.2;128.0;101.6;.341;.308;.545;54.5;53.7;5.9;3.9;;.500;11.8;34.8;.253;;.554;9.0;71.7;.167;UTA
2;2;27/10/2023;;LAC;W;120;118;124.2;122.1;96.7;.229;.427;.568;55.6;64.3;7.2;9.5;;.521;11.7;36.2;.208;;.623;13.6;82.4;.286;UTA
3;3;28/10/2023;@;PHO;L;104;126;106.0;128.4;98.1;.154;.407;.535;53.6;65.0;6.1;10.4;;.505;15.6;31.9;.132;;.588;10.2;81.1;.306;UTA
4;4;30/10/2023;@;DEN;L;102;110;105.8;114.1;96.4;.153;.378;.488;54.3;71.4;6.2;3.6;;.485;10.3;32.1;.071;;.613;11.6;82.9;.083;UTA
5;5;01/11/2023;;MEM;W;133;109;124.8;102.2;106.6;.276;.494;.682;54.3;74.5;6.6;7.1;;.667;17.7;26.3;.195;;.438;12.0;74.1;.260;UTA
6;6;02/11/2023;;ORL;L;113;115;107.4;109.3;105.2;.292;.371;.563;52.7;65.9;8.6;12.5;;.528;16.6;28.3;.213;;.518;14.4;77.8;.318;UTA
7;7;04/11/2023;@;MIN;L;95;123;101.0;130.8;94.0;.187;.473;.482;47.6;57.1;3.2;12.3;;.451;15.5;33.3;.143;;.611;9.6;71.0;.296;UTA
8;8;06/11/2023;@;CHI;L;113;130;116.7;134.3;96.8;.198;.500;.604;59.1;78.0;1.0;11.9;;.570;19.1;39.5;.174;;.613;7.3;77.8;.172;UTA
