Rk;G;Date;@;OppT;W/L;Tm;Opp;ORtg;DRtg;Pace;FTr;3PAr;TS%;TRB%;AST%;STL%;BLK%;a;eFG%;TOV%;ORB%;FT/FGA;b;OeFG%;OTOV%;DRB%;OFT/FGA;T
1;1;25/10/2023;;BOS;L;104;108;110.1;114.4;94.4;.268;.423;.480;50.5;66.7;9.5;0.0;;.464;7.7;30.4;.144;;.558;12.8;81.1;.286;NYK
2;2;27/10/2023;@;ATL;W;126;120;121.7;115.9;103.5;.311;.489;.616;50.6;69.8;8.7;10.9;;.589;13.5;25.5;.222;;.552;12.3;78.6;.276;NYK
3;3;28/10/2023;@;NOP;L;87;96;87.2;96.2;99.8;.200;.411;.444;57.8;57.6;7.0;5.6;;.406;15.5;29.1;.156;;.511;12.1;91.5;.080;NYK
4;4;31/10/2023;@;CLE;W;109;91;114.1;95.3;95.5;.291;.395;.562;51.1;47.4;9.4;1.9;;.517;12.6;27.3;.233;;.446;13.4;72.0;.098;NYK
5;5;01/11/2023;;CLE;L;89;95;92.7;99.0;96.0;.326;.326;.423;52.1;56.3;10.4;7.1;;.375;11.0;28.6;.217;;.514;17.9;85.0;.257;NYK
6;6;03/11/2023;@;MIL;L;105;110;107.2;112.3;97.9;.260;.406;.491;57.7;47.4;6.1;2.3;;.448;8.5;32.0;.198;;.549;12.9;85.1;.244;NYK
7;7;06/11/2023;;LAC;W;111;97;119.0;104.0;93.3;.205;.352;.579;60.8;68.3;13.9;2.4;;.534;16.5;42.9;.193;;.568;21.6;81.1;.192;NYK
8;8;08/11/2023;;SAS;W;126;105;131.0;109.2;96.2;.220;.420;.574;50.5;60.9;7.3;0.0;;.555;2.7;27.1;.150;;.539;12.0;75.6;.089;NYK
9;9;12/11/2023;;CHO;W;129;107;138.1;114.6;93.4;.345;.414;.644;52.6;53.2;8.6;6.8;;.626;8.2;32.3;.230;;.532;10.8;66.7;.074;NYK
10;10;13/11/2023;@;BOS;L;98;114;116.3;135.3;84.2;.304;.443;.547;50.0;51.5;5.9;5.6;;.513;8.2;29.3;.215;;.627;11.3;75.8;.190;NYK
11;11;15/11/2023;@;ATL;W;116;114;122.7;120.6;94.5;.117;.362;.587;58.3;64.4;9.5;4.5;;.564;13.9;36.8;.106;;.627;14.8;82.4;.267;NYK
12;12;17/11/2023;@;WAS;W;120;99;129.4;106.7;92.8;.220;.418;.601;60.0;57.8;5.4;12.0;;.582;9.1;35.9;.154;;.512;13.6;82.9;.183;NYK
13;13;18/11/2023;@;CHO;W;122;108;127.0;112.4;96.1;.209;.407;.614;56.6;58.7;7.3;8.5;;.593;10.8;28.9;.154;;.591;12.9;89.5;.134;NYK
14;14;20/11/2023;@;MIN;L;100;117;103.2;120.7;96.9;.370;.413;.467;53.2;50.0;8.3;6.5;;.397;8.5;31.5;.293;;.581;12.1;82.5;.300;NYK
15;15;24/11/2023;;MIA;W;100;98;103.1;101.0;97.0;.222;.358;.562;52.9;53.8;7.2;4.0;;.543;16.8;16.2;.148;;.448;10.3;80.0;.230;NYK
1;1;25/10/2023;;MIN;W;97;94;95.1;92.1;102.0;.178;.389;.500;43.1;75.0;8.8;15.9;;.478;12.6;14.8;.122;;.380;11.3;70.9;.180;TOR
2;2;27/10/2023;@;CHI;L;103;104;95.3;96.3;97.8;.298;.429;.542;50.5;64.1;4.6;3.3;;.518;18.1;17.8;.190;;.414;12.6;75.0;.222;TOR
